key	synidaemi	launaflokkur	threp	aldursflokkur	kennsluskylda	skertur	vinnumat	ryrnun	afangafjoldi	einingar	nemendafjoldi	vinnuskylda	laun
67	Stærðfræði	10	4	38-54 ára	24	False	653.333333333	0.0	4	12	15	696	639056.333333
68	Stærðfræði	7	4	30-37 ára	24	True	627.2	26.1333333333	4	12	15	708	553447.333333
69	Stærðfræði	7	4	30-37 ára	24	False	653.333333333	0.0	4	12	15	708	553447.333333
70	Stærðfræði	8	4	30-37 ára	24	True	627.2	26.1333333333	4	12	15	708	580604.333333
71	Stærðfræði	8	4	30-37 ára	24	False	653.333333333	0.0	4	12	15	708	580604.333333
72	Félagsgreinar	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	15	720	502955.333333
73	Félagsgreinar	5	4	30 ára-	24	False	669.333333333	0.0	4	12	15	720	502955.333333
74	Félagsgreinar	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	15	720	527585.333333
75	Félagsgreinar	6	4	30 ára-	24	False	669.333333333	0.0	4	12	15	720	527585.333333
76	Félagsgreinar	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	15	667	639056.333333
77	Félagsgreinar	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	15	667	641595.501027
78	Félagsgreinar	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	15	551	738693.273631
79	Félagsgreinar	10	4	60 ára+	19	False	669.333333333	0.0	4	12	15	551	767828.409224
80	Félagsgreinar	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	15	696	609117.333333
81	Félagsgreinar	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	15	696	609117.333333
82	Félagsgreinar	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	15	696	639056.333333
83	Félagsgreinar	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	15	696	639056.333333
84	Félagsgreinar	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	15	708	553447.333333
85	Félagsgreinar	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	15	708	553447.333333
86	Félagsgreinar	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	15	708	580604.333333
87	Félagsgreinar	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	15	708	580604.333333
88	Íslenska	5	4	30 ára-	24	True	654.08	27.2533333333	4	12	16	720	502955.333333
89	Íslenska	5	4	30 ára-	24	False	681.333333333	0.0	4	12	16	720	502955.333333
90	Íslenska	6	4	30 ára-	24	True	654.08	27.2533333333	4	12	16	720	527585.333333
91	Íslenska	6	4	30 ára-	24	False	681.333333333	0.0	4	12	16	720	527585.333333
92	Íslenska	10	4	55-59 ára	23	True	654.08	27.2533333333	4	12	16	667	639056.333333
93	Íslenska	10	4	55-59 ára	23	False	681.333333333	0.0	4	12	16	667	654654.077737
94	Íslenska	10	4	60 ára+	19	True	654.08	27.2533333333	4	12	16	551	751229.507272
95	Íslenska	10	4	60 ára+	19	False	681.333333333	0.0	4	12	16	551	780886.985934
96	Íslenska	9	4	38-54 ára	24	True	654.08	27.2533333333	4	12	16	696	609117.333333
97	Íslenska	9	4	38-54 ára	24	False	681.333333333	0.0	4	12	16	696	609117.333333
98	Íslenska	10	4	38-54 ára	24	True	654.08	27.2533333333	4	12	16	696	639056.333333
99	Íslenska	10	4	38-54 ára	24	False	681.333333333	0.0	4	12	16	696	639056.333333
100	Íslenska	7	4	30-37 ára	24	True	654.08	27.2533333333	4	12	16	708	553447.333333
101	Íslenska	7	4	30-37 ára	24	False	681.333333333	0.0	4	12	16	708	553447.333333
102	Íslenska	8	4	30-37 ára	24	True	654.08	27.2533333333	4	12	16	708	580604.333333
103	Íslenska	8	4	30-37 ára	24	False	681.333333333	0.0	4	12	16	708	580604.333333
104	Tungumál	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	16	720	502955.333333
105	Tungumál	5	4	30 ára-	24	False	669.333333333	0.0	4	12	16	720	502955.333333
106	Tungumál	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	16	720	527585.333333
107	Tungumál	6	4	30 ára-	24	False	669.333333333	0.0	4	12	16	720	527585.333333
108	Tungumál	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	16	667	639056.333333
