synidaemi	launaflokkur	threp	aldursflokkur	kennsluskylda	skertur	vinnumat	ryrnun	afangafjoldi	einingar	nemendafjoldi	vinnuskylda	laun
Stærðfræði	8	4	30-37 ára	24	True	627.2	26.1333333333	4	12	15	708	580604.333333
Stærðfræði	8	4	30-37 ára	24	False	653.333333333	0.0	4	12	15	708	580604.333333
Félagsgreinar	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	15	720	502955.333333
Félagsgreinar	5	4	30 ára-	24	False	669.333333333	0.0	4	12	15	720	502955.333333
Félagsgreinar	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	15	720	527585.333333
Félagsgreinar	6	4	30 ára-	24	False	669.333333333	0.0	4	12	15	720	527585.333333
Félagsgreinar	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	15	667	639056.333333
Félagsgreinar	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	15	667	641595.501027
Félagsgreinar	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	15	551	738693.273631
Félagsgreinar	10	4	60 ára+	19	False	669.333333333	0.0	4	12	15	551	767828.409224
Félagsgreinar	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	15	696	609117.333333
Félagsgreinar	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	15	696	609117.333333
Félagsgreinar	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	15	696	639056.333333
Félagsgreinar	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	15	696	639056.333333
Félagsgreinar	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	15	708	553447.333333
Félagsgreinar	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	15	708	553447.333333
Félagsgreinar	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	15	708	580604.333333
Félagsgreinar	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	15	708	580604.333333
Íslenska	5	4	30 ára-	24	True	654.08	27.2533333333	4	12	16	720	502955.333333
Íslenska	5	4	30 ára-	24	False	681.333333333	0.0	4	12	16	720	502955.333333
Íslenska	6	4	30 ára-	24	True	654.08	27.2533333333	4	12	16	720	527585.333333
Íslenska	6	4	30 ára-	24	False	681.333333333	0.0	4	12	16	720	527585.333333
Íslenska	10	4	55-59 ára	23	True	654.08	27.2533333333	4	12	16	667	639056.333333
Íslenska	10	4	55-59 ára	23	False	681.333333333	0.0	4	12	16	667	654654.077737
Íslenska	10	4	60 ára+	19	True	654.08	27.2533333333	4	12	16	551	751229.507272
Íslenska	10	4	60 ára+	19	False	681.333333333	0.0	4	12	16	551	780886.985934
Íslenska	9	4	38-54 ára	24	True	654.08	27.2533333333	4	12	16	696	609117.333333
Íslenska	9	4	38-54 ára	24	False	681.333333333	0.0	4	12	16	696	609117.333333
Íslenska	10	4	38-54 ára	24	True	654.08	27.2533333333	4	12	16	696	639056.333333
Íslenska	10	4	38-54 ára	24	False	681.333333333	0.0	4	12	16	696	639056.333333
Íslenska	7	4	30-37 ára	24	True	654.08	27.2533333333	4	12	16	708	553447.333333
Íslenska	7	4	30-37 ára	24	False	681.333333333	0.0	4	12	16	708	553447.333333
Íslenska	8	4	30-37 ára	24	True	654.08	27.2533333333	4	12	16	708	580604.333333
Íslenska	8	4	30-37 ára	24	False	681.333333333	0.0	4	12	16	708	580604.333333
Tungumál	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	16	720	502955.333333
Tungumál	5	4	30 ára-	24	False	669.333333333	0.0	4	12	16	720	502955.333333
Tungumál	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	16	720	527585.333333
Tungumál	6	4	30 ára-	24	False	669.333333333	0.0	4	12	16	720	527585.333333
Tungumál	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	16	667	639056.333333
Tungumál	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	16	667	641595.501027
Tungumál	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	16	551	738693.273631
Tungumál	10	4	60 ára+	19	False	669.333333333	0.0	4	12	16	551	767828.409224
Tungumál	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	16	696	609117.333333
Tungumál	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	16	696	609117.333333
Tungumál	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	16	696	639056.333333
Tungumál	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	16	696	639056.333333
Tungumál	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	16	708	553447.333333
Tungumál	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	16	708	553447.333333
Tungumál	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	16	708	580604.333333
Tungumál	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	16	708	580604.333333
Raungreinar	5	4	30 ára-	24	True	645.76	26.9066666667	4	12	16	720	502955.333333
Raungreinar	5	4	30 ára-	24	False	672.666666667	0.0	4	12	16	720	502955.333333
Raungreinar	6	4	30 ára-	24	True	645.76	26.9066666667	4	12	16	720	527585.333333
Raungreinar	6	4	30 ára-	24	False	672.666666667	0.0	4	12	16	720	527585.333333
Raungreinar	10	4	55-59 ára	23	True	645.76	26.9066666667	4	12	16	667	639056.333333
Raungreinar	10	4	55-59 ára	23	False	672.666666667	0.0	4	12	16	667	645222.883446
Raungreinar	10	4	60 ára+	19	True	645.76	26.9066666667	4	12	16	551	742175.560753
Raungreinar	10	4	60 ára+	19	False	672.666666667	0.0	4	12	16	551	771455.791643
Raungreinar	9	4	38-54 ára	24	True	645.76	26.9066666667	4	12	16	696	609117.333333
Raungreinar	9	4	38-54 ára	24	False	672.666666667	0.0	4	12	16	696	609117.333333
Raungreinar	10	4	38-54 ára	24	True	645.76	26.9066666667	4	12	16	696	639056.333333
Raungreinar	10	4	38-54 ára	24	False	672.666666667	0.0	4	12	16	696	639056.333333
Raungreinar	7	4	30-37 ára	24	True	645.76	26.9066666667	4	12	16	708	553447.333333
Raungreinar	7	4	30-37 ára	24	False	672.666666667	0.0	4	12	16	708	553447.333333
Raungreinar	8	4	30-37 ára	24	True	645.76	26.9066666667	4	12	16	708	580604.333333
Raungreinar	8	4	30-37 ára	24	False	672.666666667	0.0	4	12	16	708	580604.333333
Stærðfræði	5	4	30 ára-	24	True	627.2	26.1333333333	4	12	16	720	502955.333333
Stærðfræði	5	4	30 ára-	24	False	653.333333333	0.0	4	12	16	720	502955.333333
Stærðfræði	6	4	30 ára-	24	True	627.2	26.1333333333	4	12	16	720	527585.333333
Stærðfræði	6	4	30 ára-	24	False	653.333333333	0.0	4	12	16	720	527585.333333
Stærðfræði	10	4	55-59 ára	23	True	627.2	26.1333333333	4	12	16	667	639056.333333
Stærðfræði	10	4	55-59 ára	23	False	653.333333333	0.0	4	12	16	667	639056.333333
Stærðfræði	10	4	60 ára+	19	True	627.2	26.1333333333	4	12	16	551	721978.295442
Stærðfræði	10	4	60 ára+	19	False	653.333333333	0.0	4	12	16	551	750416.97361
Stærðfræði	9	4	38-54 ára	24	True	627.2	26.1333333333	4	12	16	696	609117.333333
Stærðfræði	9	4	38-54 ára	24	False	653.333333333	0.0	4	12	16	696	609117.333333
Stærðfræði	10	4	38-54 ára	24	True	627.2	26.1333333333	4	12	16	696	639056.333333
Stærðfræði	10	4	38-54 ára	24	False	653.333333333	0.0	4	12	16	696	639056.333333
Stærðfræði	7	4	30-37 ára	24	True	627.2	26.1333333333	4	12	16	708	553447.333333
Stærðfræði	7	4	30-37 ára	24	False	653.333333333	0.0	4	12	16	708	553447.333333
Stærðfræði	8	4	30-37 ára	24	True	627.2	26.1333333333	4	12	16	708	580604.333333
Stærðfræði	8	4	30-37 ára	24	False	653.333333333	0.0	4	12	16	708	580604.333333
Félagsgreinar	5	4	30 ára-	24	True	642.56	26.7733333333	4	12	16	720	502955.333333
Félagsgreinar	5	4	30 ára-	24	False	669.333333333	0.0	4	12	16	720	502955.333333
Félagsgreinar	6	4	30 ára-	24	True	642.56	26.7733333333	4	12	16	720	527585.333333
Félagsgreinar	6	4	30 ára-	24	False	669.333333333	0.0	4	12	16	720	527585.333333
Félagsgreinar	10	4	55-59 ára	23	True	642.56	26.7733333333	4	12	16	667	639056.333333
Félagsgreinar	10	4	55-59 ára	23	False	669.333333333	0.0	4	12	16	667	641595.501027
Félagsgreinar	10	4	60 ára+	19	True	642.56	26.7733333333	4	12	16	551	738693.273631
Félagsgreinar	10	4	60 ára+	19	False	669.333333333	0.0	4	12	16	551	767828.409224
Félagsgreinar	9	4	38-54 ára	24	True	642.56	26.7733333333	4	12	16	696	609117.333333
Félagsgreinar	9	4	38-54 ára	24	False	669.333333333	0.0	4	12	16	696	609117.333333
Félagsgreinar	10	4	38-54 ára	24	True	642.56	26.7733333333	4	12	16	696	639056.333333
Félagsgreinar	10	4	38-54 ára	24	False	669.333333333	0.0	4	12	16	696	639056.333333
Félagsgreinar	7	4	30-37 ára	24	True	642.56	26.7733333333	4	12	16	708	553447.333333
Félagsgreinar	7	4	30-37 ára	24	False	669.333333333	0.0	4	12	16	708	553447.333333
Félagsgreinar	8	4	30-37 ára	24	True	642.56	26.7733333333	4	12	16	708	580604.333333
Félagsgreinar	8	4	30-37 ára	24	False	669.333333333	0.0	4	12	16	708	580604.333333
Íslenska	5	4	30 ára-	24	True	654.08	27.2533333333	4	12	17	720	502955.333333
Íslenska	5	4	30 ára-	24	False	681.333333333	0.0	4	12	17	720	502955.333333
Íslenska	6	4	30 ára-	24	True	654.08	27.2533333333	4	12	17	720	527585.333333
Íslenska	6	4	30 ára-	24	False	681.333333333	0.0	4	12	17	720	527585.333333
Íslenska	10	4	55-59 ára	23	True	654.08	27.2533333333	4	12	17	667	639056.333333
Íslenska	10	4	55-59 ára	23	False	681.333333333	0.0	4	12	17	667	654654.077737
Íslenska	10	4	60 ára+	19	True	654.08	27.2533333333	4	12	17	551	751229.507272
Íslenska	10	4	60 ára+	19	False	681.333333333	0.0	4	12	17	551	780886.985934
Íslenska	9	4	38-54 ára	24	True	654.08	27.2533333333	4	12	17	696	609117.333333
Íslenska	9	4	38-54 ára	24	False	681.333333333	0.0	4	12	17	696	609117.333333
Íslenska	10	4	38-54 ára	24	True	654.08	27.2533333333	4	12	17	696	639056.333333
Íslenska	10	4	38-54 ára	24	False	681.333333333	0.0	4	12	17	696	639056.333333
Íslenska	7	4	30-37 ára	24	True	654.08	27.2533333333	4	12	17	708	553447.333333
Íslenska	7	4	30-37 ára	24	False	681.333333333	0.0	4	12	17	708	553447.333333
Íslenska	8	4	30-37 ára	24	True	654.08	27.2533333333	4	12	17	708	580604.333333
